bar_index,equity,peak,drawdown_pct,bar_return,rolling_sharpe_60
0,10000.0,10000.0,0.0,0.0,
1,10000.0,10000.0,0.0,0.0,
2,10000.0,10000.0,0.0,0.0,
3,10000.0,10000.0,0.0,0.0,
4,10000.0,10000.0,0.0,0.0,
5,10000.0,10000.0,0.0,0.0,
6,10000.0,10000.0,0.0,0.0,
7,10000.0,10000.0,0.0,0.0,
8,10000.0,10000.0,0.0,0.0,
9,10000.0,10000.0,0.0,0.0,
10,10000.0,10000.0,0.0,0.0,
11,10000.0,10000.0,0.0,0.0,
12,10000.0,10000.0,0.0,0.0,
13,10000.0,10000.0,0.0,0.0,
14,10000.0,10000.0,0.0,0.0,
15,10000.0,10000.0,0.0,0.0,
16,10000.0,10000.0,0.0,0.0,
17,10000.0,10000.0,0.0,0.0,
18,10000.0,10000.0,0.0,0.0,
19,10000.0,10000.0,0.0,0.0,
20,10000.0,10000.0,0.0,0.0,
21,10000.0,10000.0,0.0,0.0,
22,10000.0,10000.0,0.0,0.0,
23,10000.0,10000.0,0.0,0.0,
24,10000.0,10000.0,0.0,0.0,
25,10000.0,10000.0,0.0,0.0,
26,10000.0,10000.0,0.0,0.0,
27,10000.0,10000.0,0.0,0.0,
28,10000.0,10000.0,0.0,0.0,
29,10000.0,10000.0,0.0,0.0,
30,10000.0,10000.0,0.0,0.0,
31,9995.502247752247,10000.0,0.044977522477529425,-0.0004497752247752942,
32,10060.900386331736,10060.900386331736,0.0,0.0065427566277817765,
33,10053.410972914517,10060.900386331736,0.07444078690406154,-0.0007444078690406154,
34,10062.885229212694,10062.885229212694,0.0,0.0009423922212771865,
35,10050.939486867423,10062.885229212694,0.11871090719183303,-0.0011871090719183302,
36,10049.959633456594,10062.885229212694,0.1284482080604155,-9.748873845165026e-05,
37,10031.074753586941,10062.885229212694,0.31611684821174685,-0.00187910007188331,
38,9961.454514121453,10062.885229212694,1.0079685177844042,-0.006940456648535425,
39,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,
40,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,
41,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,
42,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,
43,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,
44,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,
45,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,
46,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,
47,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,
48,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,
49,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,
50,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,
51,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,
52,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,
53,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,
54,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,
55,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,
56,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,
57,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,
58,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,
59,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,-2.316388651629007
60,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,-2.316388651629007
61,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,-2.316388651629007
62,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,-2.316388651629007
63,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,-2.316388651629007
64,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,-2.316388651629007
65,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,-2.316388651629007
66,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,-2.316388651629007
67,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,-2.316388651629007
68,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,-2.316388651629007
69,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,-2.316388651629007
70,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,-2.316388651629007
71,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,-2.316388651629007
72,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,-2.316388651629007
73,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,-2.316388651629007
74,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,-2.316388651629007
75,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,-2.316388651629007
76,9961.454514121453,10062.885229212694,1.0079685177844042,0.0,-2.316388651629007
77,9956.99143548285,10062.885229212694,1.0523203963653702,-0.00044803483590428284,-2.5866897423102873
78,9957.052567857863,10062.885229212694,1.0517128929146182,6.139643225444959e-06,-2.5829507497275634
79,9996.648477401353,10062.885229212694,0.6582282347716178,0.003976669729685742,-0.1565582328225107
80,9994.852361198635,10062.885229212694,0.676077153464484,-0.0001796718376942995,-0.257557421511719
81,9996.407709893618,10062.885229212694,0.6606208637468217,0.0001556149744663604,-0.1700438065289532
82,9996.949907035061,10062.885229212694,0.6552327754491488,5.4239198437939326e-05,-0.13954939396917226
83,10014.731433929528,10062.885229212694,0.47852871404490194,0.0017786952080207632,0.848792275983405
84,10014.360642562637,10062.885229212694,0.4822134561287622,-3.702459415288226e-05,0.8282470216030015
85,10001.683433857044,10062.885229212694,0.608193315948591,-0.0012659029525771473,0.12531292036545139
86,10054.121844643176,10062.885229212694,0.08708620211704234,0.005242958461234678,2.718846198835702
87,10074.16573966208,10074.16573966208,0.0,0.0019935997721753297,3.665262011584837
88,10089.506438921984,10089.506438921984,0.0,0.0015227761440839043,4.385125656677186
89,10065.539726423545,10089.506438921984,0.23754098026027592,-0.002375409802602759,3.161123997388178
90,10073.10979544603,10089.506438921984,0.16251184907025928,0.0007520778048902224,3.516346708772782
91,10058.031730274151,10089.506438921984,0.3119548893532966,-0.0014968629825413493,2.9947552611780144
92,10061.263751916063,10089.506438921984,0.2799213933495278,0.000321337387730032,0.05248727825759281
93,10087.62191590002,10089.506438921984,0.01867804964864343,0.002619766724526646,1.8628536023046223
94,10077.513912816514,10089.506438921984,0.11886137521263929,-0.0010020204135102837,0.8148361405469844
95,10102.54127202139,10102.54127202139,0.0,0.0024834854529991266,2.7417059581597356
96,10111.682207957128,10111.682207957128,0.0,0.0009048155003389104,3.2638054288960596
97,10130.423983388304,10130.423983388304,0.0,0.0018534774971890558,5.255008367849393
98,10171.86232866481,10171.86232866481,0.0,0.004090484795548219,13.170988612025795
99,10215.006032079598,10215.006032079598,0.0,0.0042414753582740135,14.691612694081357
100,10173.68407344013,10215.006032079598,0.40452211687099277,-0.004045221168709928,11.331311726173674
101,10161.512617575494,10215.006032079598,0.5236748205151471,-0.001196366603953394,10.595377918098658
102,10144.158782181581,10215.006032079598,0.6935605292402748,-0.0017078004079724826,9.539621978679751
103,10162.205529533789,10215.006032079598,0.5168915454380831,0.0017790284773447236,10.389903327594276
104,10185.239973313313,10215.006032079598,0.2913954105636985,0.0022666776136913546,11.415648555307973
105,10180.844320425524,10215.006032079598,0.33442673990394056,-0.0004315708711141772,11.174074826029976
106,10184.94065980028,10215.006032079598,0.2943255460143559,0.0004023575300664057,11.385320548970356
107,10194.9988164857,10215.006032079598,0.19586102574062533,0.0009875518200237654,11.880643083694103
108,10199.304181558091,10215.006032079598,0.1537135707232739,0.0004223016745650375,12.103147422424863
109,10175.497539557073,10215.006032079598,0.38676915508861737,-0.0023341437393409894,10.634507585180556
110,10175.497539557073,10215.006032079598,0.38676915508861737,0.0,10.634507585180556
111,10175.497539557073,10215.006032079598,0.38676915508861737,0.0,10.634507585180556
112,10175.497539557073,10215.006032079598,0.38676915508861737,0.0,10.634507585180556
113,10175.497539557073,10215.006032079598,0.38676915508861737,0.0,10.634507585180556
114,10175.497539557073,10215.006032079598,0.38676915508861737,0.0,10.634507585180556
115,10175.497539557073,10215.006032079598,0.38676915508861737,0.0,10.634507585180556
116,10175.497539557073,10215.006032079598,0.38676915508861737,0.0,10.634507585180556
117,10175.497539557073,10215.006032079598,0.38676915508861737,0.0,10.634507585180556
118,10175.497539557073,10215.006032079598,0.38676915508861737,0.0,10.634507585180556
119,10175.497539557073,10215.006032079598,0.38676915508861737,0.0,10.634507585180556
120,10175.497539557073,10215.006032079598,0.38676915508861737,0.0,10.634507585180556
121,10175.497539557073,10215.006032079598,0.38676915508861737,0.0,10.634507585180556
122,10175.497539557073,10215.006032079598,0.38676915508861737,0.0,10.634507585180556
123,10175.497539557073,10215.006032079598,0.38676915508861737,0.0,10.634507585180556
124,10175.497539557073,10215.006032079598,0.38676915508861737,0.0,10.634507585180556
125,10175.497539557073,10215.006032079598,0.38676915508861737,0.0,10.634507585180556
126,10175.497539557073,10215.006032079598,0.38676915508861737,0.0,10.634507585180556
127,10175.497539557073,10215.006032079598,0.38676915508861737,0.0,10.634507585180556
128,10175.497539557073,10215.006032079598,0.38676915508861737,0.0,10.634507585180556
129,10175.497539557073,10215.006032079598,0.38676915508861737,0.0,10.634507585180556
130,10175.497539557073,10215.006032079598,0.38676915508861737,0.0,10.634507585180556
131,10175.497539557073,10215.006032079598,0.38676915508861737,0.0,10.634507585180556
132,10175.497539557073,10215.006032079598,0.38676915508861737,0.0,10.634507585180556
133,10175.497539557073,10215.006032079598,0.38676915508861737,0.0,10.634507585180556
